overall_rank,overall_score,overall_raw_score,top_marks_rank,top_marks_score,top_marks_raw_score,enjoyment_rank,enjoyment_score,enjoyment_raw_score,creativity_rank,creativity_score,creativity_raw_score,presentation_rank,presentation_score,presentation_raw_score
#155,4.050,4.050,n/a,n/a,n/a,#303,3.750,3.750,#31,4.400,4.400,#469,4.000,4.000
#156,4.048,4.048,n/a,n/a,n/a,#301,3.756,3.756,#344,3.900,3.900,#79,4.489,4.489
#157,4.048,4.048,n/a,n/a,n/a,#64,4.143,4.143,#975,3.548,3.548,#103,4.452,4.452
#158,4.046,4.046,n/a,n/a,n/a,#333,3.715,3.715,#361,3.886,3.886,#60,4.538,4.538
#159,4.044,4.044,n/a,n/a,n/a,#53,4.200,4.200,#102,4.200,4.200,#872,3.733,3.733
#160,4.043,4.043,n/a,n/a,n/a,#60,4.161,4.161,#273,3.968,3.968,#469,4.000,4.000
#161,4.043,4.043,n/a,n/a,n/a,#602,3.513,3.513,#58,4.308,4.308,#194,4.308,4.308
#162,4.039,4.039,n/a,n/a,n/a,#303,3.750,3.750,#208,4.033,4.033,#167,4.333,4.333
#163,4.038,4.038,n/a,n/a,n/a,#739,3.429,3.429,#31,4.400,4.400,#210,4.286,4.286
#164,4.036,4.036,n/a,n/a,n/a,#729,3.436,3.436,#50,4.333,4.333,#166,4.337,4.337
#165,4.029,4.029,n/a,n/a,n/a,#290,3.765,3.765,#268,3.971,3.971,#154,4.353,4.353
#166,4.028,4.028,n/a,n/a,n/a,#71,4.125,4.125,#118,4.167,4.167,#776,3.792,3.792
#167,4.028,4.028,n/a,n/a,n/a,#28,4.292,4.292,#548,3.750,3.750,#437,4.042,4.042
#168,4.027,4.179,n/a,n/a,n/a,#47,4.225,4.385,#219,4.003,4.154,#691,3.854,4.000
#169,4.027,4.027,n/a,n/a,n/a,#237,3.840,3.840,#122,4.160,4.160,#392,4.080,4.080
#170,4.026,4.026,n/a,n/a,n/a,#175,3.908,3.908,#281,3.961,3.961,#278,4.211,4.211
#171,4.026,4.026,n/a,n/a,n/a,#111,4.026,4.026,#518,3.769,3.769,#214,4.282,4.282
#171,4.026,4.026,n/a,n/a,n/a,#54,4.192,4.192,#363,3.885,3.885,#469,4.000,4.000
#173,4.024,4.024,n/a,n/a,n/a,#168,3.914,3.914,#362,3.886,3.886,#221,4.271,4.271
#173,4.024,4.024,n/a,n/a,n/a,#163,3.929,3.929,#259,3.982,3.982,#313,4.161,4.161
#175,4.021,4.021,n/a,n/a,n/a,#121,4.000,4.000,#548,3.750,3.750,#189,4.313,4.313
#176,4.020,4.020,n/a,n/a,n/a,#362,3.697,3.697,#303,3.939,3.939,#124,4.424,4.424
#177,4.019,4.019,n/a,n/a,n/a,#218,3.855,3.855,#266,3.971,3.971,#261,4.230,4.230
#178,4.019,4.019,n/a,n/a,n/a,#76,4.111,4.111,#599,3.722,3.722,#268,4.222,4.222
#179,4.015,4.015,n/a,n/a,n/a,#884,3.356,3.356,#223,4.000,4.000,#16,4.689,4.689
#180,4.013,4.013,n/a,n/a,n/a,#106,4.038,4.038,#654,3.692,3.692,#194,4.308,4.308
#181,4.010,4.010,n/a,n/a,n/a,#348,3.706,3.706,#148,4.118,4.118,#281,4.206,4.206
#182,4.008,4.008,n/a,n/a,n/a,#241,3.833,3.833,#176,4.071,4.071,#360,4.119,4.119
#183,4.000,4.000,n/a,n/a,n/a,#1244,3.188,3.188,#39,4.375,4.375,#114,4.438,4.438
#183,4.000,4.000,n/a,n/a,n/a,#176,3.905,3.905,#456,3.810,3.810,#210,4.286,4.286
#183,4.000,4.000,n/a,n/a,n/a,#371,3.688,3.688,#304,3.938,3.938,#142,4.375,4.375
#183,4.000,4.000,n/a,n/a,n/a,#167,3.917,3.917,#1174,3.458,3.458,#34,4.625,4.625
#183,4.000,4.000,n/a,n/a,n/a,#92,4.071,4.071,#176,4.071,4.071,#680,3.857,3.857
#183,4.000,4.000,n/a,n/a,n/a,#367,3.690,3.690,#433,3.833,3.833,#88,4.476,4.476
#189,4.000,4.000,n/a,n/a,n/a,#290,3.765,3.765,#148,4.118,4.118,#361,4.118,4.118
#190,3.989,3.989,n/a,n/a,n/a,#158,3.935,3.935,#310,3.935,3.935,#380,4.097,4.097
#190,3.989,3.989,n/a,n/a,n/a,#420,3.645,3.645,#141,4.129,4.129,#287,4.194,4.194
#192,3.986,3.986,n/a,n/a,n/a,#313,3.739,3.739,#223,4.000,4.000,#272,4.217,4.217
#193,3.983,3.983,n/a,n/a,n/a,#202,3.872,3.872,#518,3.769,3.769,#194,4.308,4.308
#194,3.980,3.980,n/a,n/a,n/a,#348,3.706,3.706,#223,4.000,4.000,#255,4.235,4.235
#195,3.980,3.980,n/a,n/a,n/a,#324,3.733,3.733,#211,4.030,4.030,#301,4.178,4.178
#196,3.978,3.978,n/a,n/a,n/a,#466,3.611,3.611,#374,3.880,3.880,#108,4.444,4.444
#197,3.978,3.978,n/a,n/a,n/a,#674,3.467,3.467,#312,3.933,3.933,#61,4.533,4.533
#197,3.978,3.978,n/a,n/a,n/a,#206,3.867,3.867,#312,3.933,3.933,#341,4.133,4.133
#199,3.976,3.976,n/a,n/a,n/a,#405,3.659,3.659,#193,4.049,4.049,#271,4.220,4.220
#200,3.975,3.975,n/a,n/a,n/a,#136,3.975,3.975,#223,4.000,4.000,#550,3.950,3.950
#201,3.974,3.974,n/a,n/a,n/a,#314,3.737,3.737,#295,3.947,3.947,#252,4.237,4.237
#202,3.971,3.971,n/a,n/a,n/a,#170,3.912,3.912,#938,3.559,3.559,#110,4.441,4.441
#203,3.970,3.970,n/a,n/a,n/a,#303,3.750,3.750,#114,4.179,4.179,#507,3.982,3.982
#204,3.970,3.970,n/a,n/a,n/a,#49,4.218,4.218,#624,3.709,3.709,#509,3.982,3.982
#204,3.970,3.970,n/a,n/a,n/a,#387,3.667,3.667,#42,4.364,4.364,#648,3.879,3.879
#204,3.970,3.970,n/a,n/a,n/a,#57,4.182,4.182,#517,3.773,3.773,#541,3.955,3.955
#207,3.968,3.968,n/a,n/a,n/a,#85,4.096,4.096,#363,3.885,3.885,#597,3.923,3.923
#208,3.967,3.967,n/a,n/a,n/a,#556,3.543,3.543,#165,4.086,4.086,#220,4.272,4.272
#209,3.966,3.966,n/a,n/a,n/a,#413,3.653,3.653,#348,3.898,3.898,#160,4.347,4.347
#210,3.963,3.963,n/a,n/a,n/a,#488,3.593,3.593,#74,4.259,4.259,#442,4.037,4.037
#211,3.962,3.962,n/a,n/a,n/a,#1475,3.086,3.086,#15,4.486,4.486,#188,4.314,4.314
#212,3.960,3.960,n/a,n/a,n/a,#193,3.880,3.880,#328,3.920,3.920,#392,4.080,4.080
#213,3.959,3.959,n/a,n/a,n/a,#100,4.060,4.060,#432,3.836,3.836,#508,3.982,3.982
#214,3.959,3.959,n/a,n/a,n/a,#217,3.856,3.856,#455,3.811,3.811,#277,4.211,4.211
#215,3.958,3.958,n/a,n/a,n/a,#446,3.625,3.625,#144,4.125,4.125,#346,4.125,4.125
#216,3.958,3.958,n/a,n/a,n/a,#240,3.836,3.836,#921,3.564,3.564,#92,4.473,4.473
#217,3.955,3.955,n/a,n/a,n/a,#424,3.642,3.642,#571,3.741,3.741,#83,4.481,4.481
#218,3.954,3.954,n/a,n/a,n/a,#138,3.966,3.966,#207,4.034,4.034,#676,3.862,3.862
#219,3.954,3.954,n/a,n/a,n/a,#89,4.086,4.086,#126,4.155,4.155,#1049,3.621,3.621
#220,3.954,3.954,n/a,n/a,n/a,#269,3.797,3.797,#204,4.038,4.038,#461,4.025,4.025
#221,3.948,3.948,n/a,n/a,n/a,#576,3.531,3.531,#663,3.688,3.688,#34,4.625,4.625
#222,3.946,3.946,n/a,n/a,n/a,#137,3.973,3.973,#329,3.919,3.919,#556,3.946,3.946
#223,3.946,3.946,n/a,n/a,n/a,#461,3.612,3.612,#476,3.796,3.796,#120,4.429,4.429
#224,3.943,3.943,n/a,n/a,n/a,#229,3.845,3.845,#126,4.155,4.155,#721,3.828,3.828
#224,3.943,3.943,n/a,n/a,n/a,#271,3.793,3.793,#276,3.966,3.966,#401,4.069,4.069
#226,3.941,3.941,n/a,n/a,n/a,#1119,3.235,3.235,#10,4.529,4.529,#415,4.059,4.059
#227,3.940,3.940,n/a,n/a,n/a,#403,3.660,3.660,#398,3.860,3.860,#199,4.300,4.300
#228,3.940,3.940,n/a,n/a,n/a,#297,3.760,3.760,#282,3.960,3.960,#378,4.100,4.100
#229,3.939,3.939,n/a,n/a,n/a,#254,3.818,3.818,#110,4.182,4.182,#733,3.818,3.818
#229,3.939,3.939,n/a,n/a,n/a,#429,3.636,3.636,#493,3.788,3.788,#135,4.394,4.394
#231,3.937,3.937,n/a,n/a,n/a,#334,3.714,3.714,#695,3.667,3.667,#120,4.429,4.429
#232,3.933,3.933,n/a,n/a,n/a,#181,3.900,3.900,#548,3.750,3.750,#324,4.150,4.150
#232,3.933,3.933,n/a,n/a,n/a,#387,3.667,3.667,#312,3.933,3.933,#283,4.200,4.200
#234,3.933,3.933,n/a,n/a,n/a,#94,4.067,4.067,#312,3.933,3.933,#762,3.800,3.800
#235,3.931,3.931,n/a,n/a,n/a,#88,4.088,4.088,#851,3.588,3.588,#361,4.118,4.118
#236,3.928,3.928,n/a,n/a,n/a,#166,3.919,3.919,#393,3.865,3.865,#469,4.000,4.000
#237,3.928,3.928,n/a,n/a,n/a,#591,3.522,3.522,#26,4.435,4.435,#722,3.826,3.826
#238,3.928,3.928,n/a,n/a,n/a,#653,3.478,3.478,#283,3.957,3.957,#158,4.348,4.348
#239,3.927,3.927,n/a,n/a,n/a,#607,3.500,3.500,#122,4.160,4.160,#357,4.120,4.120
#240,3.925,3.925,n/a,n/a,n/a,#219,3.855,3.855,#864,3.579,3.579,#165,4.342,4.342
#241,3.924,3.924,n/a,n/a,n/a,#382,3.682,3.682,#448,3.818,3.818,#219,4.273,4.273
#242,3.924,3.924,n/a,n/a,n/a,#108,4.035,4.035,#608,3.719,3.719,#464,4.018,4.018
#243,3.922,3.922,n/a,n/a,n/a,#232,3.843,3.843,#851,3.588,3.588,#167,4.333,4.333
#243,3.922,3.922,n/a,n/a,n/a,#348,3.706,3.706,#442,3.824,3.824,#255,4.235,4.235
