overall_rank,overall_score,overall_raw_score,top_marks_rank,top_marks_score,top_marks_raw_score,enjoyment_rank,enjoyment_score,enjoyment_raw_score,creativity_rank,creativity_score,creativity_raw_score,presentation_rank,presentation_score,presentation_raw_score
#3053,2.649,2.861,n/a,n/a,n/a,#4271,2.006,2.167,#2988,2.777,3.000,#1965,3.163,3.417
#3053,2.649,2.861,n/a,n/a,n/a,#2218,2.777,3.000,#2988,2.777,3.000,#3737,2.392,2.583
#3053,2.649,2.861,n/a,n/a,n/a,#3026,2.469,2.667,#2988,2.777,3.000,#2995,2.700,2.917
#3053,2.649,2.861,n/a,n/a,n/a,#2617,2.623,2.833,#3164,2.700,2.917,#3183,2.623,2.833
#3053,2.649,2.861,n/a,n/a,n/a,#3026,2.469,2.667,#3164,2.700,2.917,#2830,2.777,3.000
#3058,2.649,2.861,n/a,n/a,n/a,#2416,2.700,2.917,#2353,3.009,3.250,#4065,2.237,2.417
#3059,2.648,3.133,n/a,n/a,n/a,#3757,2.197,2.600,#3756,2.451,2.900,#1675,3.296,3.900
#3059,2.648,3.133,n/a,n/a,n/a,#1764,2.958,3.500,#3562,2.535,3.000,#3580,2.451,2.900
#3061,2.647,2.647,n/a,n/a,n/a,#1927,2.882,2.882,#2524,2.941,2.941,#4371,2.118,2.118
#3062,2.646,2.646,n/a,n/a,n/a,#3947,2.125,2.125,#2036,3.125,3.125,#3024,2.688,2.688
#3063,2.646,3.500,n/a,n/a,n/a,#3832,2.173,2.875,#2344,3.024,4.000,#2904,2.740,3.625
#3063,2.646,3.500,n/a,n/a,n/a,#3832,2.173,2.875,#2582,2.929,3.875,#2691,2.835,3.750
#3063,2.646,3.500,n/a,n/a,n/a,#4055,2.079,2.750,#3301,2.646,3.500,#1849,3.213,4.250
#3063,2.646,3.500,n/a,n/a,n/a,#3313,2.362,3.125,#2053,3.118,4.125,#3556,2.457,3.250
#3063,2.646,3.500,n/a,n/a,n/a,#3050,2.457,3.250,#3530,2.551,3.375,#2487,2.929,3.875
#3068,2.644,2.644,n/a,n/a,n/a,#3229,2.400,2.400,#3083,2.733,2.733,#2763,2.800,2.800
#3068,2.644,2.644,n/a,n/a,n/a,#3596,2.267,2.267,#3083,2.733,2.733,#2475,2.933,2.933
#3070,2.644,2.744,n/a,n/a,n/a,#2698,2.594,2.692,#2459,2.965,3.077,#3762,2.372,2.462
#3071,2.644,2.744,n/a,n/a,n/a,#3489,2.298,2.385,#939,3.558,3.692,#4449,2.075,2.154
#3071,2.644,2.744,n/a,n/a,n/a,#2480,2.668,2.769,#2298,3.039,3.154,#4094,2.224,2.308
#3071,2.644,2.744,n/a,n/a,n/a,#2292,2.743,2.846,#3234,2.668,2.769,#3422,2.520,2.615
#3071,2.644,2.744,n/a,n/a,n/a,#3096,2.446,2.538,#2459,2.965,3.077,#3422,2.520,2.615
#3071,2.644,2.744,n/a,n/a,n/a,#3096,2.446,2.538,#2298,3.039,3.154,#3592,2.446,2.538
#3071,2.644,2.744,n/a,n/a,n/a,#3273,2.372,2.462,#2459,2.965,3.077,#3237,2.594,2.692
#3077,2.643,3.296,n/a,n/a,n/a,#3201,2.405,3.000,#3686,2.494,3.111,#2292,3.029,3.778
#3077,2.643,3.296,n/a,n/a,n/a,#4177,2.049,2.556,#3220,2.673,3.333,#1868,3.207,4.000
#3077,2.643,3.296,n/a,n/a,n/a,#2727,2.584,3.222,#3865,2.405,3.000,#2464,2.940,3.667
#3077,2.643,3.296,n/a,n/a,n/a,#2468,2.673,3.333,#2795,2.851,3.556,#3686,2.405,3.000
#3081,2.643,3.296,n/a,n/a,n/a,#1804,2.940,3.667,#3220,2.673,3.333,#3888,2.316,2.889
#3081,2.643,3.296,n/a,n/a,n/a,#3913,2.138,2.667,#2536,2.940,3.667,#2652,2.851,3.556
#3081,2.643,3.296,n/a,n/a,n/a,#3913,2.138,2.667,#2536,2.940,3.667,#2652,2.851,3.556
#3084,2.643,2.643,n/a,n/a,n/a,#3128,2.429,2.429,#2362,3.000,3.000,#3467,2.500,2.500
#3085,2.641,2.641,n/a,n/a,n/a,#2367,2.718,2.718,#3122,2.718,2.718,#3522,2.487,2.487
#3086,2.640,2.640,n/a,n/a,n/a,#2676,2.600,2.600,#2700,2.880,2.880,#3608,2.440,2.440
#3086,2.640,2.640,n/a,n/a,n/a,#2264,2.760,2.760,#3117,2.720,2.720,#3608,2.440,2.440
#3088,2.639,2.639,n/a,n/a,n/a,#2736,2.583,2.583,#4408,2.167,2.167,#1953,3.167,3.167
#3089,2.639,2.639,n/a,n/a,n/a,#3370,2.333,2.333,#3247,2.667,2.667,#2507,2.917,2.917
#3089,2.639,2.639,n/a,n/a,n/a,#3370,2.333,2.333,#2483,2.958,2.958,#3172,2.625,2.625
#3091,2.636,2.636,n/a,n/a,n/a,#3510,2.296,2.296,#3728,2.463,2.463,#2000,3.148,3.148
#3092,2.635,2.635,n/a,n/a,n/a,#2763,2.571,2.571,#2504,2.952,2.952,#3750,2.381,2.381
#3093,2.633,2.633,n/a,n/a,n/a,#2813,2.550,2.550,#3768,2.450,2.450,#2536,2.900,2.900
#3093,2.633,2.633,n/a,n/a,n/a,#2270,2.750,2.750,#2121,3.100,3.100,#4537,2.050,2.050
#3093,2.633,2.633,n/a,n/a,n/a,#4155,2.064,2.064,#2163,3.082,3.082,#2871,2.755,2.755
#3093,2.633,2.633,n/a,n/a,n/a,#3880,2.150,2.150,#3996,2.350,2.350,#1458,3.400,3.400
#3093,2.633,2.633,n/a,n/a,n/a,#4173,2.050,2.050,#2121,3.100,3.100,#2872,2.750,2.750
#3098,2.632,2.970,n/a,n/a,n/a,#3169,2.417,2.727,#4190,2.256,2.545,#1816,3.223,3.636
#3098,2.632,2.970,n/a,n/a,n/a,#3169,2.417,2.727,#2639,2.901,3.273,#3279,2.579,2.909
#3098,2.632,2.970,n/a,n/a,n/a,#2314,2.740,3.091,#3486,2.579,2.909,#3279,2.579,2.909
#3098,2.632,2.970,n/a,n/a,n/a,#2314,2.740,3.091,#2872,2.820,3.182,#3828,2.337,2.636
#3102,2.632,2.632,n/a,n/a,n/a,#3604,2.263,2.263,#3483,2.579,2.579,#2229,3.053,3.053
#3103,2.632,2.632,n/a,n/a,n/a,#2586,2.632,2.632,#3838,2.421,2.421,#2675,2.842,2.842
#3104,2.630,2.630,n/a,n/a,n/a,#2945,2.500,2.500,#3526,2.556,2.556,#2699,2.833,2.833
#3104,2.630,2.630,n/a,n/a,n/a,#4004,2.111,2.111,#1766,3.222,3.222,#3317,2.556,2.556
#3106,2.628,2.628,n/a,n/a,n/a,#2139,2.808,2.808,#4928,1.923,1.923,#1981,3.154,3.154
#3107,2.627,2.627,n/a,n/a,n/a,#2089,2.824,2.824,#2861,2.824,2.824,#4075,2.235,2.235
#3108,2.627,2.627,n/a,n/a,n/a,#2393,2.706,2.706,#3579,2.529,2.529,#3107,2.647,2.647
#3108,2.627,2.627,n/a,n/a,n/a,#2874,2.529,2.529,#3149,2.706,2.706,#3107,2.647,2.647
#3110,2.627,2.627,n/a,n/a,n/a,#3291,2.368,2.368,#2734,2.868,2.868,#3126,2.645,2.645
#3111,2.627,2.627,n/a,n/a,n/a,#2676,2.600,2.600,#2362,3.000,3.000,#3994,2.280,2.280
#3112,2.626,3.714,n/a,n/a,n/a,#3143,2.424,3.429,#3801,2.424,3.429,#2287,3.030,4.286
#3112,2.626,3.714,n/a,n/a,n/a,#2887,2.525,3.571,#3099,2.727,3.857,#3153,2.626,3.714
#3112,2.626,3.714,n/a,n/a,n/a,#2345,2.727,3.857,#4246,2.222,3.143,#2483,2.929,4.143
#3115,2.626,2.626,n/a,n/a,n/a,#2267,2.758,2.758,#2622,2.909,2.909,#4162,2.212,2.212
#3116,2.625,2.625,n/a,n/a,n/a,#2270,2.750,2.750,#3651,2.500,2.500,#3172,2.625,2.625
#3116,2.625,2.625,n/a,n/a,n/a,#4040,2.083,2.083,#3480,2.583,2.583,#1865,3.208,3.208
#3116,2.625,2.625,n/a,n/a,n/a,#3626,2.250,2.250,#2704,2.875,2.875,#2872,2.750,2.750
#3119,2.623,2.833,n/a,n/a,n/a,#2617,2.623,2.833,#2567,2.932,3.167,#3912,2.315,2.500
#3119,2.623,2.833,n/a,n/a,n/a,#3456,2.315,2.500,#2778,2.855,3.083,#2995,2.700,2.917
#3119,2.623,2.833,n/a,n/a,n/a,#2416,2.700,2.917,#1928,3.163,3.417,#4612,2.006,2.167
#3119,2.623,2.833,n/a,n/a,n/a,#2822,2.546,2.750,#3371,2.623,2.833,#2995,2.700,2.917
#3119,2.623,2.833,n/a,n/a,n/a,#2822,2.546,2.750,#3371,2.623,2.833,#2995,2.700,2.917
#3119,2.623,2.833,n/a,n/a,n/a,#2822,2.546,2.750,#2567,2.932,3.167,#3737,2.392,2.583
#3125,2.622,2.622,n/a,n/a,n/a,#3036,2.467,2.467,#1470,3.333,3.333,#4526,2.067,2.067
#3126,2.622,2.622,n/a,n/a,n/a,#2332,2.733,2.733,#4011,2.333,2.333,#2763,2.800,2.800
#3126,2.622,2.622,n/a,n/a,n/a,#4463,1.933,1.933,#3083,2.733,2.733,#1880,3.200,3.200
#3128,2.622,2.622,n/a,n/a,n/a,#3127,2.433,2.433,#2927,2.800,2.800,#3145,2.633,2.633
#3129,2.621,2.621,n/a,n/a,n/a,#3666,2.227,2.227,#2882,2.818,2.818,#2732,2.818,2.818
#3130,2.621,2.621,n/a,n/a,n/a,#3814,2.182,2.182,#3448,2.591,2.591,#2150,3.091,3.091
#3131,2.620,3.100,n/a,n/a,n/a,#2404,2.704,3.200,#3756,2.451,2.900,#2988,2.704,3.200
#3131,2.620,3.100,n/a,n/a,n/a,#2847,2.535,3.000,#2957,2.789,3.300,#3363,2.535,3.000
#3131,2.620,3.100,n/a,n/a,n/a,#2847,2.535,3.000,#3155,2.704,3.200,#3188,2.620,3.100
#3134,2.619,2.718,n/a,n/a,n/a,#2698,2.594,2.692,#3040,2.743,2.846,#3422,2.520,2.615
#3134,2.619,2.718,n/a,n/a,n/a,#3489,2.298,2.385,#2298,3.039,3.154,#3422,2.520,2.615
#3134,2.619,2.718,n/a,n/a,n/a,#3680,2.224,2.308,#2660,2.891,3.000,#2887,2.743,2.846
#3134,2.619,2.718,n/a,n/a,n/a,#2292,2.743,2.846,#3775,2.446,2.538,#3059,2.668,2.769
#3134,2.619,2.718,n/a,n/a,n/a,#3096,2.446,2.538,#3436,2.594,2.692,#2736,2.817,2.923
#3134,2.619,2.718,n/a,n/a,n/a,#4691,1.853,1.923,#2085,3.113,3.231,#2555,2.891,3.000
#3134,2.619,2.718,n/a,n/a,n/a,#3096,2.446,2.538,#2459,2.965,3.077,#3592,2.446,2.538
#3141,2.619,2.619,n/a,n/a,n/a,#3337,2.357,2.357,#3790,2.429,2.429,#2180,3.071,3.071
#3141,2.619,2.619,n/a,n/a,n/a,#2945,2.500,2.500,#1785,3.214,3.214,#4286,2.143,2.143
#3141,2.619,2.619,n/a,n/a,n/a,#3370,2.333,2.333,#2757,2.857,2.857,#3074,2.667,2.667
#3141,2.619,2.619,n/a,n/a,n/a,#3337,2.357,2.357,#3500,2.571,2.571,#2495,2.929,2.929
#3141,2.619,2.619,n/a,n/a,n/a,#3536,2.286,2.286,#3123,2.714,2.714,#2624,2.857,2.857
#3141,2.619,2.619,n/a,n/a,n/a,#2945,2.500,2.500,#3123,2.714,2.714,#3127,2.643,2.643
#3147,2.619,4.000,n/a,n/a,n/a,#2650,2.619,4.000,#3398,2.619,4.000,#3204,2.619,4.000
#3148,2.618,2.618,n/a,n/a,n/a,#3471,2.313,2.313,#2362,3.000,3.000,#3356,2.542,2.542
#3149,2.616,2.616,n/a,n/a,n/a,#2696,2.595,2.595,#3879,2.405,2.405,#2668,2.848,2.848
#3150,2.614,3.458,n/a,n/a,n/a,#3576,2.268,3.000,#3964,2.362,3.125,#1849,3.213,4.250
#3150,2.614,3.458,n/a,n/a,n/a,#2060,2.835,3.750,#3301,2.646,3.500,#3787,2.362,3.125
#3150,2.614,3.458,n/a,n/a,n/a,#3313,2.362,3.125,#2828,2.835,3.750,#3115,2.646,3.500
#3153,2.614,3.458,n/a,n/a,n/a,#2801,2.551,3.375,#4152,2.268,3.000,#2302,3.024,4.000
#3153,2.614,3.458,n/a,n/a,n/a,#3832,2.173,2.875,#2344,3.024,4.000,#3115,2.646,3.500
#3153,2.614,3.458,n/a,n/a,n/a,#2060,2.835,3.750,#3052,2.740,3.625,#4002,2.268,3.000
#3156,2.614,2.614,n/a,n/a,n/a,#2446,2.684,2.684,#3703,2.474,2.474,#3030,2.684,2.684
#3157,2.613,3.259,n/a,n/a,n/a,#2468,2.673,3.333,#3686,2.494,3.111,#3045,2.673,3.333
#3157,2.613,3.259,n/a,n/a,n/a,#2992,2.494,3.111,#2795,2.851,3.556,#3509,2.494,3.111
#3157,2.613,3.259,n/a,n/a,n/a,#2250,2.762,3.444,#3463,2.584,3.222,#3509,2.494,3.111
#3157,2.613,3.259,n/a,n/a,n/a,#2250,2.762,3.444,#3865,2.405,3.000,#3045,2.673,3.333
#3157,2.613,3.259,n/a,n/a,n/a,#2992,2.494,3.111,#3013,2.762,3.444,#3256,2.584,3.222
#3162,2.611,2.611,n/a,n/a,n/a,#3557,2.278,2.278,#2981,2.778,2.778,#2819,2.778,2.778
#3163,2.609,2.609,n/a,n/a,n/a,#3265,2.375,2.375,#3635,2.516,2.516,#2470,2.938,2.938
#3164,2.609,2.609,n/a,n/a,n/a,#2668,2.609,2.609,#3517,2.565,2.565,#3101,2.652,2.652
#3165,2.608,2.608,n/a,n/a,n/a,#3020,2.471,2.471,#2691,2.882,2.882,#3529,2.471,2.471
#3165,2.608,2.608,n/a,n/a,n/a,#4163,2.059,2.059,#1898,3.176,3.176,#3250,2.588,2.588
#3167,2.607,2.607,n/a,n/a,n/a,#3626,2.250,2.250,#3123,2.714,2.714,#2624,2.857,2.857
#3168,2.605,2.939,n/a,n/a,n/a,#3169,2.417,2.727,#3841,2.417,2.727,#2386,2.982,3.364
#3168,2.605,2.939,n/a,n/a,n/a,#4025,2.095,2.364,#1549,3.304,3.727,#3666,2.417,2.727
#3168,2.605,2.939,n/a,n/a,n/a,#3822,2.176,2.455,#3486,2.579,2.909,#2201,3.062,3.455
#3168,2.605,2.939,n/a,n/a,n/a,#3169,2.417,2.727,#3841,2.417,2.727,#2386,2.982,3.364
#3173,2.604,2.604,n/a,n/a,n/a,#3119,2.438,2.438,#1386,3.375,3.375,#4625,2.000,2.000
#3173,2.604,2.604,n/a,n/a,n/a,#2784,2.563,2.563,#2908,2.813,2.813,#3611,2.438,2.438
#3173,2.604,2.604,n/a,n/a,n/a,#3626,2.250,2.250,#2214,3.063,3.063,#3467,2.500,2.500
#3176,2.603,2.603,n/a,n/a,n/a,#3898,2.143,2.143,#2631,2.905,2.905,#2847,2.762,2.762
#3177,2.603,2.603,n/a,n/a,n/a,#2945,2.500,2.500,#4000,2.346,2.346,#2412,2.962,2.962
#3177,2.603,2.603,n/a,n/a,n/a,#4206,2.038,2.038,#1630,3.269,3.269,#3467,2.500,2.500
#3179,2.602,2.602,n/a,n/a,n/a,#2934,2.512,2.512,#3204,2.683,2.683,#3223,2.610,2.610
#3180,2.600,2.600,n/a,n/a,n/a,#3880,2.150,2.150,#2805,2.850,2.850,#2763,2.800,2.800
#3180,2.600,2.600,n/a,n/a,n/a,#3370,2.333,2.333,#2736,2.867,2.867,#3228,2.600,2.600
#3180,2.600,2.600,n/a,n/a,n/a,#3370,2.333,2.333,#2736,2.867,2.867,#3228,2.600,2.600
#3180,2.600,2.600,n/a,n/a,n/a,#1819,2.933,2.933,#2736,2.867,2.867,#4625,2.000,2.000
#3180,2.600,2.600,n/a,n/a,n/a,#2855,2.533,2.533,#2362,3.000,3.000,#4024,2.267,2.267
#3180,2.600,2.600,n/a,n/a,n/a,#3355,2.350,2.350,#3424,2.600,2.600,#2664,2.850,2.850
#3186,2.600,2.600,n/a,n/a,n/a,#3482,2.300,2.300,#2927,2.800,2.800,#3013,2.700,2.700
#3187,2.598,2.598,n/a,n/a,n/a,#2393,2.706,2.706,#3413,2.618,2.618,#3529,2.471,2.471
#3188,2.597,2.806,n/a,n/a,n/a,#3026,2.469,2.667,#3164,2.700,2.917,#3183,2.623,2.833
#3188,2.597,2.806,n/a,n/a,n/a,#2617,2.623,2.833,#2146,3.086,3.333,#4410,2.083,2.250
#3188,2.597,2.806,n/a,n/a,n/a,#4467,1.929,2.083,#3919,2.392,2.583,#1339,3.472,3.750
#3191,2.597,2.597,n/a,n/a,n/a,#3626,2.250,2.250,#2155,3.083,3.083,#3554,2.458,2.458
#3192,2.595,2.595,n/a,n/a,n/a,#3536,2.286,2.286,#2757,2.857,2.857,#3127,2.643,2.643
#3192,2.595,2.595,n/a,n/a,n/a,#3128,2.429,2.429,#3651,2.500,2.500,#2624,2.857,2.857
#3192,2.595,2.595,n/a,n/a,n/a,#3337,2.357,2.357,#3651,2.500,2.500,#2495,2.929,2.929
#3192,2.595,2.595,n/a,n/a,n/a,#5000,1.714,1.714,#3123,2.714,2.714,#1554,3.357,3.357
#3192,2.595,2.595,n/a,n/a,n/a,#2568,2.643,2.643,#1970,3.143,3.143,#4625,2.000,2.000
#3197,2.594,2.692,n/a,n/a,n/a,#4078,2.075,2.154,#3234,2.668,2.769,#2266,3.039,3.154
#3197,2.594,2.692,n/a,n/a,n/a,#3273,2.372,2.462,#2660,2.891,3.000,#3422,2.520,2.615
#3197,2.594,2.692,n/a,n/a,n/a,#4078,2.075,2.154,#1655,3.261,3.385,#3592,2.446,2.538
#3197,2.594,2.692,n/a,n/a,n/a,#3096,2.446,2.538,#2890,2.817,2.923,#3422,2.520,2.615
#3197,2.594,2.692,n/a,n/a,n/a,#3273,2.372,2.462,#2298,3.039,3.154,#3762,2.372,2.462
#3202,2.594,2.692,n/a,n/a,n/a,#3680,2.224,2.308,#2085,3.113,3.231,#3592,2.446,2.538
#3203,2.594,2.594,n/a,n/a,n/a,#3831,2.174,2.174,#3293,2.652,2.652,#2431,2.957,2.957
#3203,2.594,2.594,n/a,n/a,n/a,#4713,1.826,1.826,#2978,2.783,2.783,#1947,3.174,3.174
#3205,2.593,3.667,n/a,n/a,n/a,#3143,2.424,3.429,#3099,2.727,3.857,#3153,2.626,3.714
#3205,2.593,3.667,n/a,n/a,n/a,#2887,2.525,3.571,#3345,2.626,3.714,#3153,2.626,3.714
#3205,2.593,3.667,n/a,n/a,n/a,#2887,2.525,3.571,#3588,2.525,3.571,#2944,2.727,3.857
#3205,2.593,3.667,n/a,n/a,n/a,#2887,2.525,3.571,#3345,2.626,3.714,#3153,2.626,3.714
#3209,2.593,3.667,n/a,n/a,n/a,#3143,2.424,3.429,#3588,2.525,3.571,#2710,2.828,4.000
#3210,2.593,2.593,n/a,n/a,n/a,#2794,2.556,2.556,#4011,2.333,2.333,#2565,2.889,2.889
#3210,2.593,2.593,n/a,n/a,n/a,#3111,2.444,2.444,#2243,3.056,3.056,#3996,2.278,2.278
#3210,2.593,2.593,n/a,n/a,n/a,#2494,2.667,2.667,#2362,3.000,3.000,#4384,2.111,2.111
#3213,2.592,3.067,n/a,n/a,n/a,#3079,2.451,2.900,#4314,2.197,2.600,#2065,3.127,3.700
#3213,2.592,3.067,n/a,n/a,n/a,#2636,2.620,3.100,#3387,2.620,3.100,#3363,2.535,3.000
#3213,2.592,3.067,n/a,n/a,n/a,#3297,2.366,2.800,#2488,2.958,3.500,#3580,2.451,2.900
#3213,2.592,3.067,n/a,n/a,n/a,#2636,2.620,3.100,#4314,2.197,2.600,#2421,2.958,3.500
#3217,2.592,3.067,n/a,n/a,n/a,#2636,2.620,3.100,#3953,2.366,2.800,#2798,2.789,3.300
#3217,2.592,3.067,n/a,n/a,n/a,#2847,2.535,3.000,#3953,2.366,2.800,#2597,2.874,3.400
#3217,2.592,3.067,n/a,n/a,n/a,#3550,2.282,2.700,#2957,2.789,3.300,#2988,2.704,3.200
#3217,2.592,3.067,n/a,n/a,n/a,#3297,2.366,2.800,#2957,2.789,3.300,#3188,2.620,3.100
#3221,2.591,2.591,n/a,n/a,n/a,#3436,2.318,2.318,#3028,2.750,2.750,#2987,2.705,2.705
#3221,2.591,2.591,n/a,n/a,n/a,#2945,2.500,2.500,#3448,2.591,2.591,#3036,2.682,2.682
#3223,2.590,2.590,n/a,n/a,n/a,#3164,2.423,2.423,#3729,2.462,2.462,#2574,2.885,2.885
#3224,2.588,2.588,n/a,n/a,n/a,#3020,2.471,2.471,#3003,2.765,2.765,#3381,2.529,2.529
#3224,2.588,2.588,n/a,n/a,n/a,#3658,2.235,2.235,#2861,2.824,2.824,#2983,2.706,2.706
#3224,2.588,2.588,n/a,n/a,n/a,#2549,2.647,2.647,#2691,2.882,2.882,#4075,2.235,2.235
#3224,2.588,2.588,n/a,n/a,n/a,#2393,2.706,2.706,#3579,2.529,2.529,#3381,2.529,2.529
#3228,2.588,2.588,n/a,n/a,n/a,#4583,1.882,1.882,#1574,3.294,3.294,#3250,2.588,2.588
#3229,2.588,2.588,n/a,n/a,n/a,#2883,2.526,2.526,#3338,2.632,2.632,#3227,2.605,2.605
#3230,2.587,2.587,n/a,n/a,n/a,#3010,2.480,2.480,#3117,2.720,2.720,#3316,2.560,2.560
#3231,2.584,3.222,n/a,n/a,n/a,#2727,2.584,3.222,#3865,2.405,3.000,#2852,2.762,3.444
#3231,2.584,3.222,n/a,n/a,n/a,#3201,2.405,3.000,#2536,2.940,3.667,#3686,2.405,3.000
#3231,2.584,3.222,n/a,n/a,n/a,#2250,2.762,3.444,#4218,2.227,2.778,#2852,2.762,3.444
#3231,2.584,3.222,n/a,n/a,n/a,#2022,2.851,3.556,#3686,2.494,3.111,#3686,2.405,3.000
#3231,2.584,3.222,n/a,n/a,n/a,#3913,2.138,2.667,#3013,2.762,3.444,#2652,2.851,3.556
#3236,2.584,3.222,n/a,n/a,n/a,#2992,2.494,3.111,#2536,2.940,3.667,#3888,2.316,2.889
#3237,2.583,2.583,n/a,n/a,n/a,#2672,2.607,2.607,#2319,3.036,3.036,#4390,2.107,2.107
#3238,2.583,3.417,n/a,n/a,n/a,#3313,2.362,3.125,#3301,2.646,3.500,#2904,2.740,3.625
#3239,2.583,3.417,n/a,n/a,n/a,#2306,2.740,3.625,#2582,2.929,3.875,#4420,2.079,2.750
#3240,2.583,3.417,n/a,n/a,n/a,#3050,2.457,3.250,#2828,2.835,3.750,#3556,2.457,3.250
#3240,2.583,3.417,n/a,n/a,n/a,#3050,2.457,3.250,#3530,2.551,3.375,#2904,2.740,3.625
#3240,2.583,3.417,n/a,n/a,n/a,#2801,2.551,3.375,#3734,2.457,3.250,#2904,2.740,3.625
#3240,2.583,3.417,n/a,n/a,n/a,#3576,2.268,3.000,#3052,2.740,3.625,#2904,2.740,3.625
#3244,2.582,3.944,n/a,n/a,n/a,#3211,2.400,3.667,#3637,2.510,3.833,#2686,2.837,4.333
#3244,2.582,3.944,n/a,n/a,n/a,#2650,2.619,4.000,#3398,2.619,4.000,#3450,2.510,3.833
#3246,2.581,2.581,n/a,n/a,n/a,#2740,2.581,2.581,#3049,2.742,2.742,#3663,2.419,2.419
#3247,2.580,2.580,n/a,n/a,n/a,#2208,2.783,2.783,#4889,1.957,1.957,#2322,3.000,3.000
#3248,2.579,2.579,n/a,n/a,n/a,#4014,2.105,2.105,#4188,2.263,2.263,#1534,3.368,3.368
#3249,2.579,2.909,n/a,n/a,n/a,#4448,1.934,2.182,#3067,2.740,3.091,#2201,3.062,3.455
#3250,2.578,2.578,n/a,n/a,n/a,#3229,2.400,2.400,#3719,2.467,2.467,#2611,2.867,2.867
#3251,2.577,2.577,n/a,n/a,n/a,#2945,2.500,2.500,#4574,2.077,2.077,#1981,3.154,3.154
#3252,2.577,2.577,n/a,n/a,n/a,#2843,2.538,2.538,#1736,3.231,3.231,#4733,1.962,1.962
#3253,2.576,2.576,n/a,n/a,n/a,#3569,2.273,2.273,#3448,2.591,2.591,#2617,2.864,2.864
#3254,2.575,2.575,n/a,n/a,n/a,#3186,2.414,2.414,#3853,2.414,2.414,#2544,2.897,2.897
#3255,2.574,2.574,n/a,n/a,n/a,#3229,2.400,2.400,#3075,2.738,2.738,#3255,2.585,2.585
#3256,2.574,2.574,n/a,n/a,n/a,#3864,2.167,2.167,#2674,2.889,2.889,#3074,2.667,2.667
#3256,2.574,2.574,n/a,n/a,n/a,#3557,2.278,2.278,#3247,2.667,2.667,#2819,2.778,2.778
#3256,2.574,2.574,n/a,n/a,n/a,#3557,2.278,2.278,#3247,2.667,2.667,#2819,2.778,2.778
#3259,2.573,2.573,n/a,n/a,n/a,#2577,2.640,2.640,#3213,2.680,2.680,#3723,2.400,2.400
#3260,2.572,2.778,n/a,n/a,n/a,#4271,2.006,2.167,#3371,2.623,2.833,#2161,3.086,3.333
#3261,2.571,2.571,n/a,n/a,n/a,#3015,2.476,2.476,#1970,3.143,3.143,#4396,2.095,2.095
#3261,2.571,2.571,n/a,n/a,n/a,#3728,2.214,2.214,#1970,3.143,3.143,#3806,2.357,2.357
#3261,2.571,2.571,n/a,n/a,n/a,#4135,2.071,2.071,#2362,3.000,3.000,#3127,2.643,2.643
#3264,2.571,2.571,n/a,n/a,n/a,#2676,2.600,2.600,#3123,2.714,2.714,#3723,2.400,2.400
#3264,2.571,2.571,n/a,n/a,n/a,#3480,2.310,2.310,#2966,2.786,2.786,#3200,2.619,2.619
#3264,2.571,2.571,n/a,n/a,n/a,#4814,1.786,1.786,#1587,3.286,3.286,#3127,2.643,2.643
#3264,2.571,2.571,n/a,n/a,n/a,#3128,2.429,2.429,#2966,2.786,2.786,#3467,2.500,2.500
#3264,2.571,2.571,n/a,n/a,n/a,#3337,2.357,2.357,#4299,2.214,2.214,#2004,3.143,3.143
#3264,2.571,2.571,n/a,n/a,n/a,#3370,2.333,2.333,#3394,2.619,2.619,#2847,2.762,2.762
#3270,2.570,2.667,n/a,n/a,n/a,#3680,2.224,2.308,#1462,3.336,3.462,#4280,2.150,2.231
#3271,2.570,2.667,n/a,n/a,n/a,#3273,2.372,2.462,#2085,3.113,3.231,#4094,2.224,2.308
#3271,2.570,2.667,n/a,n/a,n/a,#2480,2.668,2.769,#3234,2.668,2.769,#3762,2.372,2.462
#3271,2.570,2.667,n/a,n/a,n/a,#3489,2.298,2.385,#3623,2.520,2.615,#2555,2.891,3.000
#3274,2.569,2.569,n/a,n/a,n/a,#3947,2.125,2.125,#1677,3.250,3.250,#3838,2.333,2.333
#3274,2.569,2.569,n/a,n/a,n/a,#4290,2.000,2.000,#2610,2.917,2.917,#2787,2.792,2.792
#3276,2.569,2.569,n/a,n/a,n/a,#4290,2.000,2.000,#1722,3.235,3.235,#3529,2.471,2.471
#3276,2.569,2.569,n/a,n/a,n/a,#3992,2.118,2.118,#2524,2.941,2.941,#3107,2.647,2.647
#3278,2.569,2.569,n/a,n/a,n/a,#3255,2.382,2.382,#2947,2.794,2.794,#3381,2.529,2.529
#3279,2.567,2.567,n/a,n/a,n/a,#2945,2.500,2.500,#3651,2.500,2.500,#3013,2.700,2.700
#3279,2.567,2.567,n/a,n/a,n/a,#4173,2.050,2.050,#1823,3.200,3.200,#3587,2.450,2.450
#3281,2.567,2.567,n/a,n/a,n/a,#3482,2.300,2.300,#2927,2.800,2.800,#3228,2.600,2.600
#3282,2.565,2.565,n/a,n/a,n/a,#3607,2.261,2.261,#1910,3.174,3.174,#4041,2.261,2.261
#3283,2.564,2.564,n/a,n/a,n/a,#2036,2.846,2.846,#4514,2.115,2.115,#2936,2.731,2.731
#3283,2.564,2.564,n/a,n/a,n/a,#3396,2.327,2.327,#2815,2.846,2.846,#3443,2.519,2.519
