overall_rank,overall_score,overall_raw_score,game_design_rank,game_design_score,game_design_raw_score,innovation_rank,innovation_score,innovation_raw_score,theme_rank,theme_score,theme_raw_score,fun_rank,fun_score,fun_raw_score,audio_rank,audio_score,audio_raw_score,graphics_rank,graphics_score,graphics_raw_score
#70,3.300,3.300,#84,3.267,3.267,#165,2.667,2.667,#74,3.533,3.533,#59,3.400,3.400,#44,3.533,3.533,#99,3.400,3.400
#71,3.298,3.298,#60,3.474,3.474,#32,3.632,3.632,#57,3.632,3.632,#68,3.368,3.368,#219,2.000,2.000,#71,3.684,3.684
#72,3.296,3.296,#83,3.278,3.278,#97,3.111,3.111,#43,3.722,3.722,#135,2.889,2.889,#95,3.000,3.000,#57,3.778,3.778
#73,3.292,3.556,#70,3.395,3.667,#172,2.623,2.833,#93,3.395,3.667,#158,2.777,3.000,#20,3.858,4.167,#67,3.703,4.000
#74,3.292,3.292,#78,3.292,3.292,#131,2.917,2.917,#176,2.875,2.875,#151,2.833,2.833,#53,3.417,3.417,#5,4.417,4.417
#75,3.284,3.284,#62,3.444,3.444,#146,2.815,2.815,#102,3.370,3.370,#153,2.815,2.815,#95,3.000,3.000,#16,4.259,4.259
#76,3.283,3.283,#116,3.087,3.087,#138,2.870,2.870,#68,3.565,3.565,#107,3.000,3.000,#5,4.174,4.174,#150,3.000,3.000
#77,3.267,3.267,#95,3.200,3.200,#85,3.200,3.200,#90,3.400,3.400,#17,3.900,3.900,#73,3.200,3.200,#175,2.700,2.700
#77,3.267,3.267,#84,3.267,3.267,#95,3.133,3.133,#35,3.867,3.867,#73,3.333,3.333,#116,2.800,2.800,#120,3.200,3.200
#80,3.259,3.259,#76,3.333,3.333,#135,2.889,2.889,#212,2.667,2.667,#9,4.000,4.000,#21,3.778,3.778,#158,2.889,2.889
#81,3.256,3.256,#24,3.846,3.846,#43,3.538,3.538,#20,4.154,4.154,#42,3.538,3.538,#284,1.308,1.308,#128,3.154,3.154
#82,3.222,3.222,#122,3.000,3.000,#113,3.000,3.000,#81,3.467,3.467,#81,3.267,3.267,#168,2.400,2.400,#20,4.200,4.200
#83,3.214,3.214,#74,3.357,3.357,#31,3.643,3.643,#55,3.643,3.643,#91,3.143,3.143,#155,2.500,2.500,#150,3.000,3.000
#84,3.213,3.213,#62,3.444,3.444,#106,3.056,3.056,#117,3.278,3.278,#78,3.278,3.278,#147,2.611,2.611,#79,3.611,3.611
#85,3.211,3.211,#55,3.526,3.526,#125,2.947,2.947,#236,2.421,2.421,#90,3.158,3.158,#39,3.579,3.579,#77,3.632,3.632
#86,3.208,3.208,#87,3.250,3.250,#66,3.333,3.333,#200,2.750,2.750,#161,2.750,2.750,#53,3.417,3.417,#58,3.750,3.750
#87,3.200,3.200,#112,3.100,3.100,#132,2.900,2.900,#50,3.700,3.700,#208,2.400,2.400,#62,3.300,3.300,#56,3.800,3.800
#88,3.190,3.190,#102,3.143,3.143,#26,3.714,3.714,#142,3.071,3.071,#187,2.571,2.571,#89,3.071,3.071,#83,3.571,3.571
#89,3.188,3.188,#108,3.125,3.125,#113,3.000,3.000,#176,2.875,2.875,#161,2.750,2.750,#16,3.875,3.875,#87,3.500,3.500
#89,3.188,3.188,#72,3.375,3.375,#13,3.875,3.875,#200,2.750,2.750,#34,3.625,3.625,#81,3.125,3.125,#215,2.375,2.375
#91,3.188,3.188,#44,3.625,3.625,#8,4.000,4.000,#101,3.375,3.375,#107,3.000,3.000,#236,1.750,1.750,#105,3.375,3.375
#92,3.181,3.181,#159,2.833,2.833,#27,3.667,3.667,#40,3.833,3.833,#58,3.417,3.417,#114,2.833,2.833,#198,2.500,2.500
#93,3.178,3.178,#122,3.000,3.000,#185,2.533,2.533,#74,3.533,3.533,#120,2.933,2.933,#56,3.400,3.400,#72,3.667,3.667
#94,3.167,3.167,#99,3.182,3.182,#169,2.636,2.636,#134,3.091,3.091,#50,3.455,3.455,#115,2.818,2.818,#54,3.818,3.818
#94,3.167,3.167,#87,3.250,3.250,#62,3.375,3.375,#77,3.500,3.500,#34,3.625,3.625,#124,2.750,2.750,#198,2.500,2.500
#96,3.163,3.417,#70,3.395,3.667,#101,3.086,3.333,#93,3.395,3.667,#121,2.932,3.167,#122,2.777,3.000,#101,3.395,3.667
#97,3.148,3.148,#50,3.556,3.556,#54,3.444,3.444,#29,3.889,3.889,#53,3.444,3.444,#209,2.111,2.111,#205,2.444,2.444
#98,3.147,3.147,#75,3.353,3.353,#48,3.471,3.471,#175,2.882,2.882,#136,2.882,2.882,#110,2.882,2.882,#98,3.412,3.412
#99,3.143,3.143,#122,3.000,3.000,#113,3.000,3.000,#127,3.143,3.143,#77,3.286,3.286,#95,3.000,3.000,#96,3.429,3.429
#100,3.140,3.140,#157,2.842,2.842,#84,3.211,3.211,#211,2.684,2.684,#118,2.947,2.947,#61,3.316,3.316,#52,3.842,3.842
#101,3.138,3.389,#134,2.932,3.167,#59,3.395,3.667,#120,3.240,3.500,#121,2.932,3.167,#84,3.086,3.333,#115,3.240,3.500
#102,3.136,3.136,#160,2.818,2.818,#40,3.545,3.545,#72,3.545,3.545,#99,3.091,3.091,#151,2.545,2.545,#111,3.273,3.273
#102,3.136,3.136,#167,2.773,2.773,#108,3.045,3.045,#121,3.227,3.227,#159,2.773,2.773,#42,3.545,3.545,#92,3.455,3.455
#104,3.133,3.133,#154,2.867,2.867,#85,3.200,3.200,#22,4.000,4.000,#107,3.000,3.000,#135,2.667,2.667,#145,3.067,3.067
#105,3.127,3.127,#111,3.118,3.118,#2,4.412,4.412,#220,2.588,2.588,#76,3.294,3.294,#293,1.176,1.176,#22,4.176,4.176
#106,3.127,3.700,#92,3.212,3.800,#109,3.043,3.600,#145,3.043,3.600,#104,3.043,3.600,#72,3.212,3.800,#119,3.212,3.800
#106,3.127,3.700,#150,2.874,3.400,#83,3.212,3.800,#70,3.550,4.200,#138,2.874,3.400,#111,2.874,3.400,#103,3.381,4.000
#108,3.125,3.125,#147,2.875,2.875,#113,3.000,3.000,#33,3.875,3.875,#107,3.000,3.000,#124,2.750,2.750,#113,3.250,3.250
#109,3.111,3.111,#171,2.750,2.750,#44,3.500,3.500,#88,3.417,3.417,#161,2.750,2.750,#86,3.083,3.083,#125,3.167,3.167
#110,3.111,3.111,#107,3.130,3.130,#47,3.481,3.481,#123,3.204,3.204,#75,3.315,3.315,#138,2.648,2.648,#158,2.889,2.889
#111,3.093,3.093,#146,2.889,2.889,#272,1.889,1.889,#143,3.056,3.056,#107,3.000,3.000,#46,3.500,3.500,#18,4.222,4.222
#112,3.087,4.083,#158,2.835,3.750,#111,3.024,4.000,#89,3.402,4.500,#149,2.835,3.750,#55,3.402,4.500,#147,3.024,4.000
#113,3.080,3.080,#89,3.240,3.240,#80,3.240,3.240,#44,3.720,3.720,#132,2.920,2.920,#103,2.960,2.960,#212,2.400,2.400
#115,3.063,3.063,#122,3.000,3.000,#34,3.625,3.625,#132,3.125,3.125,#137,2.875,2.875,#170,2.375,2.375,#105,3.375,3.375
#116,3.044,3.044,#35,3.690,3.690,#81,3.238,3.238,#195,2.833,2.833,#48,3.476,3.476,#286,1.286,1.286,#60,3.738,3.738
#117,3.036,3.036,#122,3.000,3.000,#157,2.714,2.714,#127,3.143,3.143,#91,3.143,3.143,#131,2.714,2.714,#87,3.500,3.500
#118,3.024,3.024,#174,2.714,2.714,#217,2.286,2.286,#65,3.571,3.571,#142,2.857,2.857,#40,3.571,3.571,#131,3.143,3.143
#119,3.013,3.013,#122,3.000,3.000,#175,2.615,2.615,#52,3.692,3.692,#131,2.923,2.923,#123,2.769,2.769,#143,3.077,3.077
