wowie_rank,wowie_score,wowie_raw_score,topic_rank,topic_score,topic_raw_score,fun_rank,fun_score,fun_raw_score,simplicity_rank,simplicity_score,simplicity_raw_score,sound_rank,sound_score,sound_raw_score,visuals_rank,visuals_score,visuals_raw_score,creativity_rank,creativity_score,creativity_raw_score
#357,3.100,3.100,#481,3.000,3.000,#437,3.000,3.000,#419,3.500,3.500,#381,3.000,3.000,#473,3.000,3.000,#488,3.000,3.000
#357,3.100,3.100,#131,3.850,3.850,#573,2.700,2.700,#401,3.550,3.550,#371,3.050,3.050,#260,3.550,3.550,#378,3.250,3.250
#357,3.100,3.100,#51,4.100,4.100,#284,3.350,3.350,#62,4.200,4.200,#441,2.900,2.900,#594,2.700,2.700,#425,3.150,3.150
#357,3.100,3.100,#346,3.300,3.300,#607,2.600,2.600,#473,3.400,3.400,#441,2.900,2.900,#44,4.300,4.300,#407,3.200,3.200
#357,3.100,3.100,#70,4.000,4.000,#437,3.000,3.000,#378,3.600,3.600,#335,3.100,3.100,#473,3.000,3.000,#104,3.900,3.900
#364,3.098,4.000,#380,3.227,4.167,#411,3.098,4.000,#430,3.486,4.500,#620,2.453,3.167,#682,2.453,3.167,#331,3.357,4.333
#365,3.095,3.095,#354,3.286,3.286,#253,3.429,3.429,#517,3.333,3.333,#219,3.333,3.333,#466,3.048,3.048,#295,3.429,3.429
#366,3.091,3.091,#481,3.000,3.000,#437,3.000,3.000,#309,3.727,3.727,#519,2.727,2.727,#446,3.091,3.091,#325,3.364,3.364
#366,3.091,3.091,#523,2.909,2.909,#242,3.455,3.455,#38,4.273,4.273,#551,2.636,2.636,#734,2.273,2.273,#415,3.182,3.182
#366,3.091,3.091,#449,3.091,3.091,#140,3.682,3.682,#210,3.909,3.909,#619,2.455,2.455,#355,3.318,3.318,#520,2.955,2.955
#369,3.083,3.083,#269,3.500,3.500,#437,3.000,3.000,#11,4.417,4.417,#261,3.250,3.250,#668,2.500,2.500,#198,3.667,3.667
#369,3.083,3.083,#332,3.333,3.333,#586,2.667,2.667,#552,3.250,3.250,#381,3.000,3.000,#179,3.750,3.750,#607,2.750,2.750
#369,3.083,3.083,#175,3.750,3.750,#516,2.833,2.833,#291,3.750,3.750,#181,3.417,3.417,#613,2.667,2.667,#378,3.250,3.250
#369,3.083,3.083,#452,3.083,3.083,#368,3.167,3.167,#386,3.583,3.583,#430,2.917,2.917,#408,3.167,3.167,#300,3.417,3.417
#369,3.083,3.083,#546,2.833,2.833,#516,2.833,2.833,#291,3.750,3.750,#127,3.583,3.583,#213,3.667,3.667,#607,2.750,2.750
#369,3.083,3.083,#204,3.667,3.667,#437,3.000,3.000,#202,3.917,3.917,#470,2.833,2.833,#313,3.417,3.417,#343,3.333,3.333
#375,3.073,3.073,#740,2.268,2.268,#205,3.512,3.512,#307,3.732,3.732,#240,3.293,3.293,#533,2.854,2.854,#161,3.780,3.780
#376,3.071,3.071,#255,3.571,3.571,#348,3.214,3.214,#58,4.214,4.214,#203,3.357,3.357,#189,3.714,3.714,#535,2.929,2.929
#376,3.071,3.071,#413,3.143,3.143,#348,3.214,3.214,#318,3.714,3.714,#598,2.536,2.536,#211,3.679,3.679,#651,2.643,2.643
#376,3.071,3.071,#184,3.714,3.714,#253,3.429,3.429,#364,3.643,3.643,#308,3.143,3.143,#416,3.143,3.143,#328,3.357,3.357
#379,3.069,3.069,#416,3.138,3.138,#481,2.931,2.931,#194,3.931,3.931,#490,2.793,2.793,#407,3.172,3.172,#305,3.414,3.414
#380,3.067,3.067,#31,4.200,4.200,#437,3.000,3.000,#122,4.067,4.067,#567,2.600,2.600,#582,2.733,2.733,#251,3.533,3.533
#381,3.065,3.065,#189,3.710,3.710,#257,3.419,3.419,#244,3.839,3.839,#720,2.097,2.097,#498,2.968,2.968,#299,3.419,3.419
#382,3.059,3.059,#819,2.000,2.000,#547,2.765,2.765,#510,3.353,3.353,#900,1.353,1.353,#339,3.353,3.353,#234,3.588,3.588
#382,3.059,3.059,#326,3.353,3.353,#612,2.588,2.588,#535,3.294,3.294,#273,3.235,3.235,#176,3.765,3.765,#562,2.882,2.882
#382,3.059,3.059,#481,3.000,3.000,#366,3.176,3.176,#126,4.059,4.059,#451,2.882,2.882,#554,2.824,2.824,#254,3.529,3.529
#385,3.057,3.222,#161,3.795,4.000,#221,3.479,3.667,#545,3.268,3.444,#415,2.951,3.111,#577,2.741,2.889,#420,3.162,3.333
#385,3.057,3.222,#461,3.057,3.222,#221,3.479,3.667,#484,3.373,3.556,#834,1.581,1.667,#539,2.846,3.000,#103,3.900,4.111
#387,3.056,3.056,#573,2.778,2.778,#208,3.500,3.500,#53,4.222,4.222,#650,2.333,2.333,#649,2.556,2.556,#260,3.500,3.500
#387,3.056,3.056,#466,3.056,3.056,#368,3.167,3.167,#186,3.944,3.944,#196,3.389,3.389,#213,3.667,3.667,#560,2.889,2.889
#389,3.053,3.053,#539,2.842,2.842,#424,3.053,3.053,#468,3.421,3.421,#303,3.158,3.158,#73,4.105,4.105,#559,2.895,2.895
#389,3.053,3.053,#113,3.895,3.895,#380,3.158,3.158,#221,3.895,3.895,#468,2.842,2.842,#674,2.474,2.474,#87,3.947,3.947
#391,3.050,3.050,#170,3.775,3.775,#357,3.200,3.200,#116,4.075,4.075,#296,3.175,3.175,#326,3.375,3.375,#56,4.050,4.050
#392,3.045,3.045,#103,3.909,3.909,#315,3.273,3.273,#69,4.182,4.182,#609,2.500,2.500,#84,4.045,4.045,#732,2.409,2.409
#393,3.037,3.037,#773,2.148,2.148,#244,3.444,3.444,#399,3.556,3.556,#510,2.741,2.741,#623,2.630,2.630,#323,3.370,3.370
#394,3.030,3.030,#364,3.242,3.242,#414,3.091,3.091,#237,3.848,3.848,#292,3.182,3.182,#510,2.909,2.909,#488,3.000,3.000
#395,3.019,3.375,#323,3.354,3.750,#393,3.130,3.500,#502,3.354,3.750,#264,3.242,3.625,#420,3.130,3.500,#434,3.130,3.500
#395,3.019,3.375,#715,2.348,2.625,#134,3.690,4.125,#393,3.578,4.000,#316,3.130,3.500,#296,3.466,3.875,#596,2.795,3.125
#395,3.019,3.375,#671,2.460,2.750,#134,3.690,4.125,#651,3.019,3.375,#540,2.683,3.000,#748,2.236,2.500,#481,3.019,3.375
#395,3.019,3.375,#839,1.901,2.125,#280,3.354,3.750,#706,2.907,3.250,#437,2.907,3.250,#335,3.354,3.750,#547,2.907,3.250
#395,3.019,3.375,#366,3.242,3.625,#236,3.466,3.875,#335,3.690,4.125,#316,3.130,3.500,#515,2.907,3.250,#384,3.242,3.625
#395,3.019,3.375,#193,3.690,4.125,#393,3.130,3.500,#447,3.466,3.875,#264,3.242,3.625,#558,2.795,3.125,#384,3.242,3.625
#401,3.018,3.018,#772,2.158,2.158,#216,3.491,3.491,#581,3.193,3.193,#452,2.877,2.877,#264,3.544,3.544,#512,2.982,2.982
#402,3.016,3.016,#269,3.500,3.500,#367,3.172,3.172,#304,3.734,3.734,#479,2.813,2.813,#390,3.219,3.219,#136,3.828,3.828
#403,3.000,3.000,#452,3.083,3.083,#328,3.250,3.250,#386,3.583,3.583,#503,2.750,2.750,#348,3.333,3.333,#300,3.417,3.417
#403,3.000,3.000,#393,3.200,3.200,#529,2.800,2.800,#32,4.300,4.300,#232,3.300,3.300,#668,2.500,2.500,#707,2.500,2.500
#403,3.000,3.000,#291,3.462,3.462,#483,2.923,2.923,#369,3.615,3.615,#426,2.923,2.923,#535,2.846,2.846,#284,3.462,3.462
#403,3.000,3.000,#725,2.316,2.316,#327,3.263,3.263,#391,3.579,3.579,#381,3.000,3.000,#356,3.316,3.316,#131,3.842,3.842
#403,3.000,3.000,#149,3.818,3.818,#526,2.818,2.818,#454,3.455,3.455,#476,2.818,2.818,#618,2.636,2.636,#215,3.636,3.636
#403,3.000,3.000,#398,3.190,3.190,#413,3.095,3.095,#596,3.143,3.143,#177,3.429,3.429,#416,3.143,3.143,#83,3.952,3.952
#403,3.000,3.000,#481,3.000,3.000,#437,3.000,3.000,#238,3.846,3.846,#168,3.462,3.462,#151,3.846,3.846,#186,3.692,3.692
#403,3.000,3.000,#481,3.000,3.000,#363,3.182,3.182,#309,3.727,3.727,#248,3.273,3.273,#618,2.636,2.636,#456,3.091,3.091
#403,3.000,3.000,#346,3.300,3.300,#357,3.200,3.200,#419,3.500,3.500,#441,2.900,2.900,#521,2.900,2.900,#488,3.000,3.000
#403,3.000,3.000,#614,2.643,2.643,#277,3.357,3.357,#722,2.857,2.857,#82,3.714,3.714,#168,3.786,3.786,#213,3.643,3.643
#403,3.000,3.000,#66,4.043,4.043,#397,3.130,3.130,#361,3.652,3.652,#373,3.043,3.043,#235,3.609,3.609,#475,3.043,3.043
#403,3.000,3.000,#481,3.000,3.000,#315,3.273,3.273,#492,3.364,3.364,#343,3.091,3.091,#510,2.909,2.909,#363,3.273,3.273
#403,3.000,3.000,#458,3.063,3.063,#419,3.063,3.063,#291,3.750,3.750,#453,2.875,2.875,#161,3.813,3.813,#530,2.938,2.938
#403,3.000,3.000,#481,3.000,3.000,#402,3.111,3.111,#701,2.944,2.944,#148,3.500,3.500,#136,3.889,3.889,#174,3.722,3.722
#403,3.000,3.000,#308,3.400,3.400,#298,3.300,3.300,#264,3.800,3.800,#285,3.200,3.200,#320,3.400,3.400,#665,2.600,2.600
#403,3.000,3.000,#282,3.471,3.471,#282,3.353,3.353,#224,3.882,3.882,#894,1.412,1.412,#339,3.353,3.353,#394,3.235,3.235
#403,3.000,3.000,#628,2.618,2.618,#336,3.235,3.235,#182,3.971,3.971,#375,3.029,3.029,#668,2.500,2.500,#100,3.912,3.912
#403,3.000,3.000,#830,1.940,1.940,#399,3.120,3.120,#191,3.940,3.940,#363,3.060,3.060,#50,4.260,4.260,#647,2.680,2.680
#403,3.000,3.000,#791,2.083,2.083,#486,2.917,2.917,#349,3.667,3.667,#381,3.000,3.000,#272,3.500,3.500,#539,2.917,2.917
#403,3.000,3.000,#213,3.643,3.643,#348,3.214,3.214,#146,4.000,4.000,#550,2.643,2.643,#189,3.714,3.714,#328,3.357,3.357
#403,3.000,3.000,#94,3.933,3.933,#251,3.433,3.433,#330,3.700,3.700,#381,3.000,3.000,#183,3.733,3.733,#395,3.233,3.233
#424,2.988,3.571,#284,3.466,4.143,#285,3.347,4.000,#441,3.466,4.143,#404,2.988,3.571,#570,2.749,3.286,#178,3.705,4.429
#424,2.988,3.571,#579,2.749,3.286,#503,2.869,3.429,#856,2.390,2.857,#458,2.869,3.429,#489,2.988,3.571,#337,3.347,4.000
#426,2.972,2.972,#404,3.167,3.167,#516,2.833,2.833,#757,2.806,2.806,#174,3.444,3.444,#124,3.917,3.917,#239,3.583,3.583
#427,2.970,4.200,#506,2.970,4.200,#465,2.970,4.200,#613,3.111,4.400,#671,2.263,3.200,#548,2.828,4.000,#375,3.253,4.600
#428,2.969,3.833,#380,3.227,4.167,#570,2.711,3.500,#498,3.357,4.333,#936,1.162,1.500,#286,3.486,4.500,#515,2.969,3.833
#428,2.969,3.833,#321,3.357,4.333,#512,2.840,3.667,#498,3.357,4.333,#527,2.711,3.500,#543,2.840,3.667,#618,2.711,3.500
#430,2.966,2.966,#227,3.621,3.621,#430,3.034,3.034,#542,3.276,3.276,#228,3.310,3.310,#499,2.966,2.966,#405,3.207,3.207
#431,2.958,2.958,#811,2.042,2.042,#279,3.354,3.354,#419,3.500,3.500,#307,3.146,3.146,#205,3.688,3.688,#564,2.875,2.875
#432,2.957,2.957,#698,2.391,2.391,#296,3.304,3.304,#643,3.087,3.087,#297,3.174,3.174,#56,4.217,4.217,#257,3.522,3.522
#432,2.957,2.957,#397,3.196,3.196,#405,3.109,3.109,#580,3.196,3.196,#623,2.435,2.435,#367,3.283,3.283,#306,3.413,3.413
#434,2.952,2.952,#515,2.952,2.952,#548,2.762,2.762,#234,3.857,3.857,#841,1.571,1.571,#880,1.714,1.714,#222,3.619,3.619
#435,2.951,3.111,#586,2.741,2.889,#473,2.951,3.111,#882,2.319,2.444,#163,3.479,3.667,#577,2.741,2.889,#318,3.373,3.556
#435,2.951,3.111,#408,3.162,3.333,#319,3.268,3.444,#214,3.900,4.111,#465,2.846,3.000,#620,2.635,2.778,#578,2.846,3.000
#435,2.951,3.111,#246,3.584,3.778,#644,2.530,2.667,#484,3.373,3.556,#834,1.581,1.667,#461,3.057,3.222,#318,3.373,3.556
#435,2.951,3.111,#537,2.846,3.000,#511,2.846,3.000,#697,2.951,3.111,#365,3.057,3.222,#328,3.373,3.556,#420,3.162,3.333
#435,2.951,3.111,#246,3.584,3.778,#596,2.635,2.778,#384,3.584,3.778,#301,3.162,3.333,#539,2.846,3.000,#269,3.479,3.667
#435,2.951,3.111,#516,2.951,3.111,#596,2.635,2.778,#648,3.057,3.222,#511,2.741,2.889,#539,2.846,3.000,#367,3.268,3.444
#435,2.951,3.111,#683,2.424,2.556,#319,3.268,3.444,#141,4.006,4.222,#818,1.687,1.778,#503,2.951,3.111,#367,3.268,3.444
#435,2.951,3.111,#277,3.479,3.667,#421,3.057,3.222,#384,3.584,3.778,#511,2.741,2.889,#461,3.057,3.222,#367,3.268,3.444
#435,2.951,3.111,#246,3.584,3.778,#473,2.951,3.111,#545,3.268,3.444,#415,2.951,3.111,#328,3.373,3.556,#578,2.846,3.000
#435,2.951,3.111,#787,2.108,2.222,#375,3.162,3.333,#648,3.057,3.222,#42,3.900,4.111,#246,3.584,3.778,#655,2.635,2.778
#445,2.947,2.947,#318,3.368,3.368,#391,3.132,3.132,#90,4.132,4.132,#315,3.132,3.132,#473,3.000,3.000,#414,3.184,3.184
#446,2.944,2.944,#473,3.028,3.028,#437,3.000,3.000,#659,3.000,3.000,#278,3.222,3.222,#248,3.583,3.583,#352,3.306,3.306
#447,2.939,2.939,#598,2.697,2.697,#489,2.909,2.909,#433,3.485,3.485,#292,3.182,3.182,#261,3.545,3.545,#632,2.697,2.697
#448,2.938,2.938,#458,3.063,3.063,#247,3.438,3.438,#253,3.813,3.813,#944,1.125,1.125,#863,1.813,1.813,#293,3.438,3.438
#448,2.938,2.938,#662,2.500,2.500,#361,3.188,3.188,#146,4.000,4.000,#113,3.625,3.625,#61,4.188,4.188,#678,2.563,2.563
#450,2.933,2.933,#417,3.133,3.133,#417,3.067,3.067,#464,3.433,3.433,#498,2.767,2.767,#456,3.067,3.067,#488,3.000,3.000
#451,2.929,2.929,#184,3.714,3.714,#177,3.571,3.571,#195,3.929,3.929,#780,1.857,1.857,#473,3.000,3.000,#675,2.571,2.571
#451,2.929,2.929,#184,3.714,3.714,#711,2.357,2.357,#596,3.143,3.143,#242,3.286,3.286,#189,3.714,3.714,#260,3.500,3.500
#453,2.923,2.923,#521,2.923,2.923,#291,3.308,3.308,#146,4.000,4.000,#497,2.769,2.769,#820,2.000,2.000,#537,2.923,2.923
#453,2.923,2.923,#470,3.038,3.038,#470,2.962,2.962,#146,4.000,4.000,#609,2.500,2.500,#695,2.423,2.423,#662,2.615,2.615
#453,2.923,2.923,#629,2.615,2.615,#437,3.000,3.000,#527,3.308,3.308,#895,1.385,1.385,#265,3.538,3.538,#577,2.846,2.846
#456,2.917,2.917,#138,3.833,3.833,#516,2.833,2.833,#517,3.333,3.333,#570,2.583,2.583,#313,3.417,3.417,#260,3.500,3.500
#456,2.917,2.917,#332,3.333,3.333,#549,2.750,2.750,#386,3.583,3.583,#219,3.333,3.333,#378,3.250,3.250,#300,3.417,3.417
#456,2.917,2.917,#292,3.458,3.458,#471,2.958,2.958,#386,3.583,3.583,#453,2.875,2.875,#593,2.708,2.708,#378,3.250,3.250
#456,2.917,2.917,#249,3.583,3.583,#368,3.167,3.167,#202,3.917,3.917,#902,1.333,1.333,#452,3.083,3.083,#300,3.417,3.417
#460,2.913,2.913,#258,3.565,3.565,#464,2.978,2.978,#414,3.522,3.522,#421,2.935,2.935,#696,2.413,2.413,#467,3.065,3.065
#461,2.910,2.910,#262,3.537,3.537,#488,2.910,2.910,#209,3.910,3.910,#346,3.090,3.090,#617,2.657,2.657,#690,2.537,2.537
#462,2.909,2.909,#218,3.636,3.636,#437,3.000,3.000,#146,4.000,4.000,#248,3.273,3.273,#446,3.091,3.091,#363,3.273,3.273
#462,2.909,2.909,#554,2.818,2.818,#489,2.909,2.909,#454,3.455,3.455,#248,3.273,3.273,#228,3.636,3.636,#488,3.000,3.000
#464,2.907,3.250,#476,3.019,3.375,#621,2.571,2.875,#335,3.690,4.125,#706,2.124,2.375,#844,1.901,2.125,#481,3.019,3.375
#464,2.907,3.250,#289,3.466,3.875,#236,3.466,3.875,#447,3.466,3.875,#616,2.460,2.750,#470,3.019,3.375,#334,3.354,3.750
#464,2.907,3.250,#366,3.242,3.625,#536,2.795,3.125,#554,3.242,3.625,#867,1.453,1.625,#558,2.795,3.125,#644,2.683,3.000
#464,2.907,3.250,#419,3.130,3.500,#492,2.907,3.250,#651,3.019,3.375,#540,2.683,3.000,#608,2.683,3.000,#481,3.019,3.375
#464,2.907,3.250,#156,3.801,4.250,#332,3.242,3.625,#259,3.801,4.250,#945,1.118,1.250,#677,2.460,2.750,#190,3.690,4.125
#464,2.907,3.250,#366,3.242,3.625,#536,2.795,3.125,#706,2.907,3.250,#210,3.354,3.750,#638,2.571,2.875,#547,2.907,3.250
#464,2.907,3.250,#419,3.130,3.500,#660,2.460,2.750,#502,3.354,3.750,#577,2.571,2.875,#638,2.571,2.875,#281,3.466,3.875
#471,2.900,2.900,#235,3.600,3.600,#437,3.000,3.000,#378,3.600,3.600,#232,3.300,3.300,#196,3.700,3.700,#260,3.500,3.500
#471,2.900,2.900,#308,3.400,3.400,#437,3.000,3.000,#330,3.700,3.700,#685,2.200,2.200,#594,2.700,2.700,#449,3.100,3.100
#471,2.900,2.900,#308,3.400,3.400,#607,2.600,2.600,#839,2.500,2.500,#441,2.900,2.900,#394,3.200,3.200,#449,3.100,3.100
#471,2.900,2.900,#727,2.300,2.300,#796,2.100,2.100,#907,2.200,2.200,#232,3.300,3.300,#272,3.500,3.500,#449,3.100,3.100
#475,2.895,2.895,#318,3.368,3.368,#437,3.000,3.000,#439,3.474,3.474,#613,2.474,2.474,#392,3.211,3.211,#526,2.947,2.947
#476,2.889,2.889,#481,3.000,3.000,#499,2.889,2.889,#279,3.778,3.778,#381,3.000,3.000,#369,3.278,3.278,#402,3.222,3.222
#476,2.889,2.889,#433,3.111,3.111,#545,2.778,2.778,#349,3.667,3.667,#369,3.056,3.056,#272,3.500,3.500,#343,3.333,3.333
#478,2.882,2.882,#241,3.588,3.588,#612,2.588,2.588,#96,4.118,4.118,#212,3.353,3.353,#316,3.412,3.412,#469,3.059,3.059
#479,2.880,2.880,#616,2.640,2.640,#595,2.640,2.640,#659,3.000,3.000,#107,3.640,3.640,#80,4.080,4.080,#227,3.600,3.600
#480,2.869,3.429,#284,3.466,4.143,#503,2.869,3.429,#382,3.586,4.286,#604,2.510,3.000,#899,1.673,2.000,#746,2.390,2.857
#480,2.869,3.429,#699,2.390,2.857,#462,2.988,3.571,#511,3.347,4.000,#555,2.630,3.143,#838,1.912,2.286,#178,3.705,4.429
#480,2.869,3.429,#388,3.227,3.857,#503,2.869,3.429,#621,3.108,3.714,#737,2.032,2.429,#386,3.227,3.857,#565,2.869,3.429
#480,2.869,3.429,#735,2.271,2.714,#285,3.347,4.000,#441,3.466,4.143,#213,3.347,4.000,#158,3.825,4.571,#507,2.988,3.571
#480,2.869,3.429,#284,3.466,4.143,#406,3.108,3.714,#326,3.705,4.429,#635,2.390,2.857,#770,2.151,2.571,#397,3.227,3.857
#486,2.867,2.867,#361,3.267,3.267,#323,3.267,3.267,#305,3.733,3.733,#599,2.533,2.533,#720,2.333,2.333,#573,2.867,2.867
#486,2.867,2.867,#481,3.000,3.000,#437,3.000,3.000,#62,4.200,4.200,#256,3.267,3.267,#93,4.000,4.000,#251,3.533,3.533
#488,2.864,2.864,#356,3.282,3.282,#591,2.650,2.650,#490,3.369,3.369,#478,2.816,2.816,#121,3.922,3.922,#555,2.903,2.903
#489,2.857,2.857,#847,1.857,1.857,#348,3.214,3.214,#465,3.429,3.429,#203,3.357,3.357,#305,3.429,3.429,#427,3.143,3.143
#489,2.857,2.857,#520,2.929,2.929,#437,3.000,3.000,#479,3.393,3.393,#491,2.786,2.786,#305,3.429,3.429,#295,3.429,3.429
#489,2.857,2.857,#332,3.333,3.333,#586,2.667,2.667,#146,4.000,4.000,#902,1.333,1.333,#501,2.952,2.952,#270,3.476,3.476
#492,2.855,2.855,#377,3.232,3.232,#680,2.435,2.435,#99,4.101,4.101,#353,3.072,3.072,#393,3.203,3.203,#361,3.275,3.275
#493,2.850,2.850,#848,1.850,1.850,#386,3.150,3.150,#146,4.000,4.000,#371,3.050,3.050,#149,3.850,3.850,#425,3.150,3.150
#494,2.846,2.846,#574,2.769,2.769,#546,2.769,2.769,#406,3.538,3.538,#597,2.538,2.538,#507,2.923,2.923,#488,3.000,3.000
#495,2.846,4.500,#408,3.162,5.000,#375,3.162,5.000,#587,3.162,5.000,#766,1.897,3.000,#598,2.688,4.250,#633,2.688,4.250
#495,2.846,4.500,#796,2.055,3.250,#436,3.004,4.750,#725,2.846,4.500,#463,2.846,4.500,#598,2.688,4.250,#487,3.004,4.750
#497,2.846,3.000,#316,3.373,3.556,#473,2.951,3.111,#269,3.795,4.000,#930,1.265,1.333,#620,2.635,2.778,#522,2.951,3.111
#497,2.846,3.000,#161,3.795,4.000,#375,3.162,3.333,#545,3.268,3.444,#553,2.635,2.778,#461,3.057,3.222,#367,3.268,3.444
#499,2.840,3.667,#321,3.357,4.333,#671,2.453,3.167,#302,3.744,4.833,#410,2.969,3.833,#588,2.711,3.500,#618,2.711,3.500
#499,2.840,3.667,#718,2.324,3.000,#718,2.324,3.000,#770,2.711,3.500,#571,2.582,3.333,#588,2.711,3.500,#580,2.840,3.667
#499,2.840,3.667,#760,2.195,2.833,#467,2.969,3.833,#560,3.227,4.167,#819,1.678,2.167,#496,2.969,3.833,#331,3.357,4.333
#499,2.840,3.667,#509,2.969,3.833,#467,2.969,3.833,#738,2.840,3.667,#722,2.066,2.667,#442,3.098,4.000,#515,2.969,3.833
#504,2.839,2.839,#611,2.677,2.677,#360,3.194,3.194,#549,3.258,3.258,#360,3.065,3.065,#576,2.742,2.742,#411,3.194,3.194
#505,2.833,2.833,#576,2.750,2.750,#777,2.167,2.167,#469,3.417,3.417,#650,2.333,2.333,#509,2.917,2.917,#417,3.167,3.167
#506,2.828,4.000,#547,2.828,4.000,#575,2.687,3.800,#920,2.121,3.000,#625,2.404,3.400,#492,2.970,4.200,#734,2.404,3.400
#506,2.828,4.000,#849,1.838,2.600,#522,2.828,4.000,#683,2.970,4.200,#408,2.970,4.200,#650,2.546,3.600,#734,2.404,3.400
#508,2.827,2.827,#550,2.827,2.827,#619,2.580,2.580,#647,3.062,3.062,#306,3.148,3.148,#404,3.185,3.185,#441,3.111,3.111
#509,2.821,2.821,#111,3.897,3.897,#525,2.821,2.821,#238,3.846,3.846,#461,2.846,2.846,#769,2.154,2.154,#314,3.385,3.385
#510,2.818,2.818,#481,3.000,3.000,#562,2.727,2.727,#309,3.727,3.727,#858,1.545,1.545,#510,2.909,2.909,#615,2.727,2.727
#510,2.818,2.818,#358,3.273,3.273,#414,3.091,3.091,#366,3.636,3.636,#343,3.091,3.091,#228,3.636,3.636,#363,3.273,3.273
#510,2.818,2.818,#226,3.623,3.623,#526,2.818,2.818,#69,4.182,4.182,#377,3.026,3.026,#566,2.753,2.753,#649,2.662,2.662
#513,2.813,2.813,#556,2.813,2.813,#435,3.016,3.016,#133,4.047,4.047,#310,3.141,3.141,#628,2.625,2.625,#604,2.781,2.781
#514,2.800,2.800,#632,2.600,2.600,#529,2.800,2.800,#473,3.400,3.400,#335,3.100,3.100,#521,2.900,2.900,#631,2.700,2.700
#515,2.796,2.796,#474,3.020,3.020,#601,2.633,2.633,#659,3.000,3.000,#156,3.490,3.490,#473,3.000,3.000,#401,3.224,3.224
#516,2.795,3.125,#419,3.130,3.500,#536,2.795,3.125,#706,2.907,3.250,#485,2.795,3.125,#380,3.242,3.625,#384,3.242,3.625
#516,2.795,3.125,#366,3.242,3.625,#621,2.571,2.875,#651,3.019,3.375,#485,2.795,3.125,#677,2.460,2.750,#596,2.795,3.125
#516,2.795,3.125,#608,2.683,3.000,#492,2.907,3.250,#335,3.690,4.125,#616,2.460,2.750,#420,3.130,3.500,#759,2.348,2.625
#516,2.795,3.125,#525,2.907,3.250,#492,2.907,3.250,#502,3.354,3.750,#264,3.242,3.625,#558,2.795,3.125,#714,2.460,2.750
#516,2.795,3.125,#751,2.236,2.500,#712,2.348,2.625,#651,3.019,3.375,#437,2.907,3.250,#638,2.571,2.875,#596,2.795,3.125
#521,2.789,2.789,#64,4.053,4.053,#355,3.211,3.211,#344,3.684,3.684,#303,3.158,3.158,#356,3.316,3.316,#526,2.947,2.947
#522,2.786,2.786,#729,2.286,2.286,#306,3.286,3.286,#396,3.571,3.571,#841,1.571,1.571,#58,4.214,4.214,#488,3.000,3.000
#522,2.786,2.786,#729,2.286,2.286,#306,3.286,3.286,#659,3.000,3.000,#424,2.929,2.929,#305,3.429,3.429,#241,3.571,3.571
#522,2.786,2.786,#430,3.114,3.114,#508,2.857,2.857,#273,3.786,3.786,#441,2.900,2.900,#594,2.700,2.700,#574,2.857,2.857
#525,2.778,2.778,#829,1.944,1.944,#516,2.833,2.833,#374,3.611,3.611,#245,3.278,3.278,#156,3.833,3.833,#616,2.722,2.722
#526,2.774,2.774,#596,2.710,2.710,#501,2.871,2.871,#538,3.290,3.290,#591,2.548,2.548,#690,2.452,2.452,#488,3.000,3.000
#527,2.766,2.766,#457,3.064,3.064,#510,2.851,2.851,#467,3.426,3.426,#282,3.213,3.213,#526,2.894,2.894,#447,3.106,3.106
#528,2.763,2.763,#534,2.868,2.868,#620,2.579,2.579,#358,3.658,3.658,#539,2.684,2.684,#739,2.263,2.263,#433,3.132,3.132
#529,2.762,2.762,#590,2.714,2.714,#646,2.524,2.524,#481,3.381,3.381,#500,2.762,2.762,#613,2.667,2.667,#574,2.857,2.857
#529,2.762,2.762,#280,3.476,3.476,#586,2.667,2.667,#349,3.667,3.667,#695,2.190,2.190,#586,2.714,2.714,#617,2.714,2.714
#531,2.758,2.758,#218,3.636,3.636,#431,3.030,3.030,#702,2.939,2.939,#157,3.485,3.485,#237,3.606,3.606,#353,3.303,3.303
#532,2.750,2.750,#440,3.100,3.100,#529,2.800,2.800,#291,3.750,3.750,#335,3.100,3.100,#439,3.100,3.100,#556,2.900,2.900
#532,2.750,2.750,#576,2.750,2.750,#437,3.000,3.000,#469,3.417,3.417,#548,2.667,2.667,#567,2.750,2.750,#198,3.667,3.667
#532,2.750,2.750,#681,2.438,2.438,#247,3.438,3.438,#226,3.875,3.875,#536,2.688,2.688,#603,2.688,2.688,#530,2.938,2.938
#535,2.749,3.286,#812,2.032,2.429,#406,3.108,3.714,#672,2.988,3.571,#555,2.630,3.143,#570,2.749,3.286,#397,3.227,3.857
#535,2.749,3.286,#330,3.347,4.000,#503,2.869,3.429,#566,3.227,3.857,#669,2.271,2.714,#770,2.151,2.571,#702,2.510,3.000
#535,2.749,3.286,#624,2.630,3.143,#693,2.390,2.857,#838,2.510,3.000,#331,3.108,3.714,#435,3.108,3.714,#565,2.869,3.429
#535,2.749,3.286,#655,2.510,3.000,#648,2.510,3.000,#718,2.869,3.429,#331,3.108,3.714,#343,3.347,4.000,#565,2.869,3.429
#539,2.741,2.889,#516,2.951,3.111,#272,3.373,3.556,#545,3.268,3.444,#511,2.741,2.889,#461,3.057,3.222,#318,3.373,3.556
