wowie_rank,wowie_score,wowie_raw_score,topic_rank,topic_score,topic_raw_score,fun_rank,fun_score,fun_raw_score,simplicity_rank,simplicity_score,simplicity_raw_score,sound_rank,sound_score,sound_raw_score,visuals_rank,visuals_score,visuals_raw_score,creativity_rank,creativity_score,creativity_raw_score
#88,3.750,3.750,#346,3.300,3.300,#85,3.850,3.850,#131,4.050,4.050,#122,3.600,3.600,#111,3.950,3.950,#182,3.700,3.700
#91,3.743,3.743,#126,3.857,3.857,#95,3.800,3.800,#318,3.714,3.714,#40,3.914,3.914,#181,3.743,3.743,#46,4.086,4.086
#91,3.743,3.743,#294,3.457,3.457,#95,3.800,3.800,#318,3.714,3.714,#53,3.829,3.829,#10,4.600,4.600,#124,3.857,3.857
#93,3.741,3.741,#353,3.295,3.295,#217,3.491,3.491,#31,4.304,4.304,#44,3.875,3.875,#48,4.268,4.268,#124,3.857,3.857
#94,3.740,3.740,#666,2.497,2.497,#9,4.272,4.272,#220,3.896,3.896,#322,3.121,3.121,#128,3.908,3.908,#145,3.809,3.809
#95,3.737,3.737,#266,3.526,3.526,#113,3.737,3.737,#243,3.842,3.842,#13,4.158,4.158,#12,4.579,4.579,#55,4.053,4.053
#96,3.733,3.733,#61,4.067,4.067,#55,3.933,3.933,#13,4.400,4.400,#143,3.533,3.533,#183,3.733,3.733,#31,4.200,4.200
#96,3.733,3.733,#31,4.200,4.200,#143,3.667,3.667,#25,4.333,4.333,#61,3.800,3.800,#65,4.133,4.133,#50,4.067,4.067
#98,3.727,3.727,#70,4.000,4.000,#118,3.727,3.727,#69,4.182,4.182,#248,3.273,3.273,#187,3.727,3.727,#101,3.909,3.909
#99,3.719,3.719,#208,3.656,3.656,#67,3.906,3.906,#138,4.031,4.031,#56,3.813,3.813,#32,4.406,4.406,#339,3.344,3.344
#100,3.717,3.717,#47,4.113,4.113,#93,3.811,3.811,#179,3.981,3.981,#314,3.132,3.132,#142,3.868,3.868,#341,3.340,3.340
#101,3.714,3.714,#38,4.143,4.143,#348,3.214,3.214,#575,3.214,3.214,#354,3.071,3.071,#146,3.857,3.857,#29,4.214,4.214
#101,3.714,3.714,#173,3.762,3.762,#53,3.952,3.952,#9,4.429,4.429,#131,3.571,3.571,#291,3.476,3.476,#83,3.952,3.952
#101,3.714,3.714,#228,3.619,3.619,#177,3.571,3.571,#48,4.238,4.238,#57,3.810,3.810,#52,4.238,4.238,#222,3.619,3.619
#104,3.710,3.710,#297,3.452,3.452,#111,3.742,3.742,#67,4.194,4.194,#68,3.774,3.774,#93,4.000,4.000,#89,3.935,3.935
#105,3.708,3.708,#42,4.125,4.125,#194,3.542,3.542,#404,3.542,3.542,#219,3.333,3.333,#140,3.875,3.875,#30,4.208,4.208
#106,3.705,4.429,#243,3.586,4.286,#234,3.466,4.143,#621,3.108,3.714,#276,3.227,3.857,#386,3.227,3.857,#178,3.705,4.429
#107,3.704,3.704,#412,3.148,3.148,#163,3.593,3.593,#146,4.000,4.000,#35,3.963,3.963,#500,2.963,2.963,#26,4.222,4.222
#108,3.702,3.702,#217,3.638,3.638,#21,4.128,4.128,#82,4.149,4.149,#96,3.681,3.681,#180,3.745,3.745,#82,3.957,3.957
#109,3.700,3.700,#468,3.050,3.050,#70,3.900,3.900,#362,3.650,3.650,#859,1.500,1.500,#225,3.650,3.650,#182,3.700,3.700
#110,3.692,3.692,#261,3.538,3.538,#148,3.654,3.654,#645,3.077,3.077,#215,3.346,3.346,#43,4.308,4.308,#297,3.423,3.423
#111,3.686,3.686,#101,3.914,3.914,#306,3.286,3.286,#9,4.429,4.429,#92,3.686,3.686,#285,3.486,3.486,#53,4.057,4.057
#112,3.685,3.685,#24,4.241,4.241,#83,3.852,3.852,#146,4.000,4.000,#269,3.241,3.241,#209,3.685,3.685,#210,3.648,3.648
#113,3.684,3.684,#113,3.895,3.895,#173,3.579,3.579,#272,3.789,3.789,#516,2.737,2.737,#269,3.526,3.526,#68,4.000,4.000
#114,3.682,3.682,#618,2.636,2.636,#63,3.909,3.909,#345,3.682,3.682,#28,4.000,4.000,#41,4.318,4.318,#119,3.864,3.864
